ID, Device, Mode, ExpPart, Round, Trial, Block, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
12,MOOSE,Rubbing,1,2,25,4,1,854,32,6.0,100,UP,514,18.0,true,5924,4223,2096,487,1214,0,1,1,UP,1.0,304.0,756.5,518.314,1124.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,26,4,2,854,32,3.0,50,DOWN,301,18.0,true,6561,4911,1743,241,1409,0,1,2,DOWN,1.0,299.0,569.0,489.0,1178.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,27,4,3,854,32,6.0,300,DOWN,421,18.0,true,6565,5728,655,230,607,2,1,1,DOWN,1.0,409.0,609.0,539.356,1318.479,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,28,4,4,854,32,6.0,50,UP,305,18.0,true,5777,5378,1455,351,48,0,1,2,UP,1.0,357.0,571.0,472.362,1388.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,29,4,5,854,32,3.0,100,UP,355,18.0,true,6439,5106,1120,669,664,0,1,1,DOWN,1.0,400.0,609.0,571.0,1361.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,30,4,6,854,32,3.0,300,DOWN,695,18.0,true,7258,6175,1312,161,922,0,1,2,DOWN,1.0,407.0,530.0,561.0,1312.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,31,4,7,854,32,3.0,200,DOWN,545,18.0,true,8118,6778,3073,1295,45,0,1,1,UP,1.0,401.0,578.0,612.0,1515.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,32,4,8,854,32,6.0,200,UP,304,18.0,true,6674,6073,1633,559,42,0,2,1,UP,1.0,298.314,625.0,501.0,1415.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,1,1,1,854,32,3.0,50,UP,535,18.0,true,5295,3984,1521,334,977,0,1,2,DOWN,1.0,327.0,619.0,498.0,1321.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,2,1,2,854,32,3.0,100,UP,115,18.0,true,4665,3713,1713,219,733,0,1,1,DOWN,1.0,299.617,574.5,485.299,1201.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,3,1,3,854,32,6.0,50,UP,131,18.0,true,5000,3984,1984,291,725,0,1,1,DOWN,1.0,304.0,497.0,449.0,1280.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,4,1,4,854,32,6.0,200,DOWN,465,18.0,true,17469,16511,2352,384,574,0,3,5,DOWN,1.0,200.0,430.0,535.0,1505.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,5,1,5,854,32,6.0,100,UP,582,18.0,true,4750,3647,1504,186,917,0,1,1,UP,1.0,339.332,568.642,434.0,1224.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,6,1,6,854,32,3.0,300,DOWN,671,18.0,true,7018,5615,1374,814,589,0,1,1,DOWN,1.0,365.0,466.0,487.0,1320.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,7,1,7,854,32,6.0,300,DOWN,753,18.0,true,6647,5617,706,514,516,0,1,1,UP,1.0,369.0,440.0,506.5,1435.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,8,1,8,854,32,3.0,200,DOWN,531,18.0,true,8027,7040,1025,289,698,0,1,1,DOWN,1.0,398.0,633.0,595.0,1435.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,9,2,1,854,32,6.0,300,UP,320,18.0,true,6077,5670,1168,370,37,-1,1,1,DOWN,1.0,257.0,694.5,469.0,1323.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,10,2,2,854,32,3.0,100,DOWN,303,18.0,true,5023,4257,1225,319,447,0,1,1,DOWN,1.0,290.0,740.0,451.0,1559.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,11,2,3,854,32,3.0,50,DOWN,380,18.0,true,2930,2112,1487,263,555,0,1,1,DOWN,1.0,255.5,718.0,481.0,1332.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,12,2,4,854,32,6.0,200,UP,566,18.0,true,5518,4544,1279,528,446,0,1,1,DOWN,1.0,278.0,700.0,472.473,1489.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,13,2,5,854,32,6.0,50,DOWN,400,18.0,true,3022,2225,1568,303,494,-1,2,1,DOWN,1.0,297.994,800.0,414.0,1321.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,14,2,6,854,32,3.0,300,UP,303,18.0,true,7078,6129,1712,453,496,0,1,1,DOWN,1.0,302.0,707.0,425.0,1389.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,15,2,7,854,32,6.0,100,DOWN,613,18.0,true,3866,2671,976,538,657,-1,1,1,DOWN,1.0,331.0,579.0,496.0,1487.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,16,2,8,854,32,3.0,200,UP,496,18.0,true,8373,8137,4720,185,51,0,1,1,UP,1.0,358.0,526.0,488.0,1276.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,17,3,1,854,32,6.0,200,DOWN,475,18.0,true,6644,4544,126,803,1297,-1,1,1,UP,1.0,262.551,437.0,482.0,1179.495,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,18,3,2,854,32,3.0,100,DOWN,174,18.0,true,4295,3296,816,465,534,1,0,1,UP,1.0,331.0,502.0,425.0,1355.5,1080.0,1661.0,4.331,
